node,spring_x,spring_y,bfs_x,bfs_y,arf_x,arf_y,spectral_x,spectral_y,force atlas_x,force atlas_y,kamada kawai_x,kamada kawai_y,random_x,random_y
cube455_cluster0,0.6050280846588184,0.6795755359364839,0.600169779286927,0.027589134125636672,-10.21126937866211,2.7706565856933594,-0.9722438710111225,-0.7631000917387158,234.20814514160156,-10.089282035827637,0.638206650360311,0.6111727390982494,0.06506781280040741,0.5400747060775757
cube459_cluster0,-0.13433760359480218,0.45520942050837726,0.45302773061686474,-0.03678551216751556,-11.483534812927246,3.9620985984802246,-0.46936006757736487,0.3278718336451984,-136.85018920898438,205.3055419921875,0.2653512891700702,0.2523227297870699,0.12918677926063538,0.6145628690719604
cube460_cluster0,-0.08586449461031037,0.39101635524377537,0.45302773061686474,-0.01839275608375778,-6.197119235992432,7.500848293304443,-0.4856353586641252,0.2990855455724601,-117.6246109008789,203.71438598632812,0.28776495092221,0.2002527433199917,0.3636503517627716,0.7677580118179321
cube461_cluster0,-0.055260647709747084,0.37458944668242666,0.45302773061686474,0.01839275608375778,-8.84230899810791,-7.122117519378662,-0.5004725639094838,0.2772397866843409,-104.26303100585938,200.96897888183594,0.30644931974870426,0.1898647479194859,0.04853413626551628,0.10981811583042145
cube466_cluster0,-0.18745348651090124,0.4362493631503924,0.434634974533107,-0.01839275608375778,3.486983060836792,0.2651381492614746,-0.46097481750670183,0.3394343065876569,-142.33470153808594,209.55789184570312,0.260112053448477,0.21746816821725953,0.6840232014656067,0.5146536827087402
cube467_cluster0,-0.152305877285768,0.4202321559779761,0.434634974533107,0.0,0.2297680824995041,8.905205726623535,-0.4572485106366372,0.3340168330122833,-132.6473846435547,210.3423614501953,0.27269274378596486,0.1834310420308195,0.5716413855552673,0.8437069654464722
cube468_cluster0,-0.15084739774664344,0.40824952657474534,0.434634974533107,0.01839275608375778,-2.435612201690674,10.8224458694458,-0.4546413356158489,0.33339839859690085,-127.86982727050781,211.89163208007812,0.2646054381886527,0.19270435346603493,0.48773762583732605,0.8101444244384766
cube468_cluster1,0.08333409320833081,0.46083479583300185,0.4898132427843803,0.01839275608375778,0.1965012103319168,13.121889114379883,-0.5753691967770698,0.20237685495137214,-63.635650634765625,176.76004028320312,0.3050865821566301,0.4339338358067027,0.5102436542510986,0.9267206788063049
cube469_cluster0,0.09896627588919402,0.5274060551116866,0.5082059988681381,0.027589134125636672,4.259237766265869,-10.68152904510498,-0.5784910334375168,0.20656475889205536,-65.85601806640625,174.08790588378906,0.30457122691528554,0.46710951573832193,0.6669277548789978,0.14872683584690094
cube473_cluster0,-0.2963776803647009,0.4801437272221121,0.45302773061686474,0.0,-5.1221184730529785,11.584750175476074,-0.4694579314969916,0.3644978575885171,-164.85655212402344,209.01792907714844,0.20710997725038946,0.4476732846910268,0.36455318331718445,0.865774929523468
