node,spring_x,spring_y,bfs_x,bfs_y,arf_x,arf_y,spectral_x,spectral_y,force atlas_x,force atlas_y,kamada kawai_x,kamada kawai_y,random_x,random_y
cube12_cluster0,-0.12260200288822573,6.889104927961288e-06,0.6389884088514225,-0.010642781875658588,-3.228452205657959,-5.978407382965088,-0.6276413647952082,-0.013124906645955945,-41.45967483520508,15.824525833129883,0.3633883260516523,0.34244152312653253,0.173165425658226,0.07494858652353287
cube12_cluster1,0.09349613981075781,0.045520989601987596,0.6389884088514225,0.010642781875658588,0.9663444757461548,-5.972753524780273,-0.6342847406099466,0.0018983213260307724,-45.291831970214844,19.302724838256836,0.37320863587652797,0.39737738376961185,0.6007426977157593,0.16797217726707458
cube13_cluster0,-0.19690803001662696,-0.1585079296131792,0.6177028451001053,-0.010642781875658588,4.112747669219971,-1.911638617515564,-0.6093375851677006,-0.07132186680514353,-41.31718444824219,6.777825832366943,0.33932013601999517,0.32541224874661717,0.733380138874054,0.4084438681602478
cube13_cluster1,0.13887420447834076,-0.13653992461922504,0.6177028451001053,0.010642781875658588,1.7103960514068604,8.052233695983887,-0.6179447950399044,-0.0581182148764784,-48.93626403808594,10.952554702758789,0.347557711900102,0.44686476824997057,0.5279088020324707,0.9375715851783752
cube14_cluster0,0.12187793461720822,-0.3089780196309619,0.5964172813487881,0.010642781875658588,-0.22283795475959778,-7.063007354736328,-0.5987440012834063,-0.11696247999563149,-48.34171676635742,1.4231114387512207,0.29294853345489386,0.4561238737960703,0.521696150302887,0.10819338262081146
cube14_cluster1,-0.20804400948574245,-0.32047289476809354,0.5964172813487881,-0.010642781875658588,-5.18733549118042,0.6470619440078735,-0.5869827080273987,-0.13589432523034317,-39.77617263793945,-3.2738659381866455,0.3078153303179447,0.3155028520278221,0.15822340548038483,0.5452026724815369
cube15_cluster0,-0.13294294700053252,-0.5044999468884694,0.575131717597471,-0.010642781875658588,-0.048376839607954025,2.3142662048339844,-0.5484973990438596,-0.23646920776481098,-34.794090270996094,-19.694639205932617,0.25005752048699514,0.3171451884647353,0.5244041085243225,0.6376102566719055
cube15_cluster1,0.039127502406234874,-0.49000901460467783,0.575131717597471,0.010642781875658588,-3.4420225620269775,2.643423557281494,-0.5621227519376097,-0.21110427697173106,-41.010528564453125,-14.685911178588867,0.22630948955008326,0.3923949625957977,0.40149545669555664,0.6498051285743713
cube16_cluster0,-0.057911265436578,-0.594352604380164,0.5538461538461538,0.0,-1.6064507961273193,1.6860978603363037,-0.531403798096619,-0.2763880369404062,-31.960508346557617,-26.433876037597656,0.228412352172508,0.32115312039233845,0.3968999981880188,0.6239160895347595
cube17_cluster0,-0.040624403537614505,-0.7171532651937945,0.5325605900948366,0.010642781875658588,4.246501445770264,-6.276005268096924,-0.5177289439293649,-0.3139879976684391,-27.85141944885254,-33.463897705078125,0.19850549844190724,0.3576199787453672,0.7674049735069275,0.17897391319274902
