MSU,BA24_1,BA24_2,BM24_1,BM24_2,IA24_1,IA24_2,IM24_1,IM24_2,ZA24_1,ZA24_2,ZM24_1,ZM24_2,AG7PX1_count,AG7PX2_count,AG7PX3_count,AG7UI1_count,AG7UI2_count,AG7UI3_count,AG8PX1_count,AG8PX2_count,AG8PX3_count,KITPX1_count,KITPX2_count,KITPX3_count,KITUI1_count,KITUI2_count,KITUI3_count
LOC_Os04g12390,597.33422214134,725.2878060933961,1540.7624133137613,1378.0376569661353,698.5513040248746,461.28160781340057,1518.3569727363918,1463.8517355970348,909.5656196082991,326.0577750062161,1103.3472121947184,1485.4523915911464,0.0,0.0,6.0503303817525165,5.940869875492802,3.616510301017207,0.0,3.6128643195607215,0.0,0.0,0.0,0.0,0.0,2.323274760253018,5.3227249717501595,0.0
LOC_Os04g12430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.980611627823546,0.0,21.78118937430906,72.47861248101219,102.4677918621542,40.59696015759683,21.67718591736433,17.532086424054285,32.64729413757093,21.045855512557292,8.145288830258586,7.539977998653014,52.2736821056929,31.93634983050096,38.44750650449507
LOC_Os04g12480,551.7975325610585,501.5429422710594,753.5574270058665,544.5297470797326,648.2884348659629,622.2440423899736,674.391182435155,473.3706533988736,529.0673633641769,588.3297942574762,587.9264430694714,618.0266744796286,369.8104133658983,463.4266556788429,262.58433856805925,288.72627594895016,277.2657897446525,263.3002844506995,319.1363482278637,353.92899468559585,263.59667118483196,227.7904361359142,335.120454730639,242.53595895667195,656.3251197714776,467.0691162710765,593.0236609329693
LOC_Os04g12499,10.71451519536036,19.494601996401602,5.916054382774222,15.095874176467834,15.72851687965944,57.61518911018275,1.562899611668957,14.716186116027158,5.3780672260653315,54.03028722772741,7.8810515156765595,1.5092226483019013,2353.3389941466253,1820.4463364226317,1318.9720232220486,708.151689158742,383.350091907824,789.9008533520985,1889.5280391302574,1798.1346138670674,1787.1370642714755,1937.4566986560094,765.6571500443071,1622.3519327101735,399.6032587635191,991.3575259884672,463.7002299633041
LOC_Os04g12540,185.20804837694334,210.0100305975991,152.3384003564362,77.6359243361203,131.81180993714597,405.46689336291104,179.73345534193007,77.66876005681,176.80396005689775,351.9472876361688,195.45007758877867,113.94630994679355,358.6040372032953,409.101521400701,479.1861662347993,136.64000713633445,202.5245768569636,105.55209640975177,333.58780550610663,458.02575782841814,802.8816039758185,285.97603667063146,265.3036933284225,260.12924095352895,193.993442481127,252.82943615813258,273.7928493501921
LOC_Os04g12560,98.91793492859475,142.66504188275718,85.41303515130282,81.1403236985146,107.0222996376827,192.83083605314286,169.96533276899908,104.03526018135867,132.60297004267332,103.55805051981088,143.23811129742145,136.96195533339753,0.0,41.0210197610459,16.94092506890705,117.62922353475749,86.79624722441297,88.15339919935313,51.78438858037034,15.340575621047499,29.019817011174162,74.27949004431986,38.39921877121905,89.22307298406066,63.89005590695799,66.53406214687699,45.43796223258508
LOC_Os04g12580,78.6368883088055,72.66169835022416,49.91670885465749,59.03565079725814,44.10823211904495,58.51542644002935,21.48986966044816,57.02522119960524,68.40229253151843,48.02692198020215,50.635755988221895,14.714920820943536,300.08185057636865,283.82110969804734,378.7506818977076,1162.034147646392,965.6082503715943,893.1331234671304,387.7807702995174,226.8213681112023,227.32189992086427,407.29920374302054,304.8665247896785,575.55165389718,283.43952075086816,359.28393559313577,210.87874779738203
LOC_Os04g12600,101.78789435592341,111.65090234302737,53.244489444967996,73.32281742855805,46.50170207899313,76.34012557099214,40.635389903392884,50.689085510760215,262.18077727068487,156.83791709159763,47.286309094059355,67.91501917358556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC_Os04g12744,2.165862714490701,0.0,0.0,1.0782767268905595,0.3419242799925965,0.0,0.0,0.8175658953348421,1.0083876048872495,1.1256309839109877,0.0,2.263833972452852,720.9435331274583,477.83944640569683,705.4685225123435,259.0219265714862,195.2915562549292,223.86323744046254,492.5538355667784,612.5272694403966,565.8864317178961,404.8232207415432,411.91889227307706,506.4351889095274,414.7045447051637,391.2202854236367,283.11345698764546
LOC_Os04g12830,140.054020053639,163.93188042428622,127.93467602749254,99.20145887393149,54.70788479881544,83.54202420976497,203.9583993227989,136.53350452091863,142.51878149073127,87.0487960891164,157.62103031353118,67.91501917358556,293.8560860415892,203.9964225954715,344.86883175989345,324.371495201907,214.5796111936876,495.2829139226814,314.31919580178277,191.75719526309373,146.30824409800306,274.83411316398343,260.64924256827476,246.30594795599845,620.3143609875558,106.45449943500319,491.66205287566413
