MSU,TPM Norm,TPM IsoForest,TPM SD,TPM SDmean,TPM MeanCorr,TPM PC1,TPM PC2,DESeq Norm,DESeq IsoForest,DESeq SD,DESeq SDmean,DESeq MeanCorr,DESeq PC1,DESeq PC2,DESeq Mock,DESeq Attack,DESeq Old,DESeq New,LFC New,LFC Attack
LOC_Os12g42064,25.68179160406079,0.15739933769901815,3.695163675817243,1.1002472955130393,0.5464720526042064,-0.7130638,-0.14138629,1654.3706693838815,0.14744073879514086,236.58118208021764,1.085845399452843,0.5418819013687974,-0.8396111,-0.1745867,238.2443746175808,34.92435508908697,443.8748583235456,27.64658599506105,-0.08437764409069426,-0.05833029342158952
LOC_Os12g42070,97.47920107753635,0.14001034512281835,12.780109080744523,0.9160221220508785,0.5232936255639826,-0.54782856,0.02208093,5971.648389145801,0.11476563453740524,764.465628294167,0.8780586520360151,0.5161238091881803,-0.46835,0.22884192,897.882436806814,362.4907200625924,1500.323901402248,269.09985018749904,-0.22079226832395232,-0.1165415474681765
LOC_Os12g42090,1199.0724541430507,-0.09115061748455322,70.40316979269727,0.3197572246990331,0.5780431863464156,2.4741092,-0.35947493,55182.24634039579,-0.13284579207731484,3680.2621116420974,0.3685091550742376,0.5776260327106404,3.8074095,-0.08650701,10791.703447328477,10785.514480051888,5979.610005075466,12531.444286685813,0.32129029958195227,-0.0002491132366004667
LOC_Os12g42110,116.07838068663375,0.13355618382673135,13.117040617252488,0.7184213728611082,0.49992282483963835,-0.4911881,-0.29914156,6315.428346645976,0.11672274968860974,731.4558159694883,0.7457637211653979,0.5030853077412613,-0.5020779,-0.47237802,589.5424757572487,1379.6294209071223,336.3629086116566,1452.0467251581363,0.2183851347520831,0.12700783156855053
LOC_Os12g42120,13.65698021361382,0.16206307828729277,1.6223974612541425,0.7758133098863449,0.5427420539675215,-0.7339096,-0.17637502,654.1754671581999,0.15866916605821868,76.34608058629775,0.754571880306536,0.5326570783367558,-0.91227466,-0.28569758,99.63790661014285,83.43197390712571,165.97708739108415,39.74150751516794,-0.027885488884910957,-0.0034709917793140457
LOC_Os12g42130,18.931312840921674,0.1614562224098401,2.2817005525171137,0.7938793279130327,0.5422388428327855,-0.7217093,-0.16393264,780.9822331856699,0.15764307270249922,92.11248995593087,0.7670806741304292,0.5329541921148494,-0.9014706,-0.27318507,117.60959272555466,71.34038348580314,219.6777378886972,49.37581236732986,-0.040234819309389096,-0.01346764480707115
LOC_Os12g42140,93.90329302000664,0.16404163747086165,3.3130908917926454,0.18637114463164664,0.44906460915815655,-0.50032413,-0.17211775,6303.05293047714,0.1453020018019726,275.5592405041501,0.23303121763903895,0.5076903021644044,-0.3799664,-0.20168446,1153.9702957616737,1201.8050113776692,933.2291948756199,1357.93600927311,0.06503646923528218,0.007043077385176734
LOC_Os12g42150,107.75526825126734,0.14377355854401025,12.590507689910083,0.7559520035218179,0.5797600610749543,-0.50502676,0.04986539,3055.102665683228,0.14154240196865792,342.4544072638089,0.7098216085535235,0.5754806890833222,-0.69004494,-0.04154521,535.9411674939024,252.7781758248234,800.3836306930928,165.4590656270123,-0.2486909668118604,-0.1185906790023796
LOC_Os12g42180,402.6061069582677,0.06084779931521461,33.66436296729883,0.48032776758456136,0.5819603054242168,0.31727853,0.5872686,9137.13511262414,0.12885272086485144,694.9148216177656,0.4287393803063147,0.5718308291516943,-0.07482277,0.41209298,1632.535268781819,1079.8325763542812,2270.74493690895,1020.0320262226437,-0.34732020419576143,-0.17937008966016177
LOC_Os12g42190,10.689477555906677,0.16267111593419437,1.228173230802207,0.7366766655113536,0.4037744786039094,-0.7408133,-0.18855849,344.6447707252369,0.15898819863868208,39.43474902909554,0.7320632036604705,0.36998466990936657,-0.94065446,-0.32180047,43.10527294051393,67.3483812279794,73.51908387391919,27.716905243949935,-0.014766514171369824,0.006783253674203866
LOC_Os12g42200,28.841836812725678,0.1553546139254054,4.717399205357877,1.5403118551723507,0.4877591661660125,-0.7137367,-0.13550484,1850.8717504452532,0.14464672433042464,301.368362726303,1.517893025568734,0.48425368276237807,-0.83667153,-0.15560403,50.67650311350364,33.96841744660517,304.6402551420925,19.010783601576968,-0.0692622123240318,-0.009922795298483613
LOC_Os12g42210,93.64289421028734,0.1543188286081033,5.574950945353461,0.32466957017598586,0.4859681939717658,-0.5123687,-0.20693259,2822.797078340286,0.15381616682297683,183.82148926069232,0.35872879532585494,0.514305296827037,-0.72189784,-0.32078764,579.892383443037,578.3155069483596,330.1555554581421,625.6763342584372,0.10220846607580979,-0.0004355779673951639
LOC_Os12g42220,107.16370931762476,0.15154315295753362,6.384976039480006,0.32495406927936504,0.15208360930258777,-0.46855286,-0.11593497,3663.3477564300047,0.15457275597545678,231.9761403278794,0.3476604211901508,0.15779550444796775,-0.6268349,-0.20160279,707.2706437100967,695.7034085054567,673.3636188056802,721.3768130585621,0.012968307710013185,-0.003104833662373938
LOC_Os12g42230,151.59167419656475,0.13956458629451213,9.17147620395555,0.3304930543099818,0.3583506147213022,-0.35523823,-0.17305098,6106.85709171131,0.14877331221015266,423.3995519389412,0.3851282654971625,0.4018209796195314,-0.43290436,-0.23947547,1037.415855691657,1031.2443905980272,747.839900149401,1248.8883656767541,0.1335826559399991,-0.0015543532743355127
LOC_Os12g42250,14.631918983050095,0.1570700995194202,2.0585436457363344,1.0493056205694722,0.5337060199297338,-0.7385374,-0.22800994,391.72602108961195,0.15441393401636266,54.92292156456906,1.0419532676273229,0.5369132120749696,-0.9468048,-0.36229816,27.944306101688337,72.06395363426982,0.0,82.47625398898214,0.060812650467821174,0.012726723761003587
LOC_Os12g42260,27.651237871263955,0.16758130173828062,1.2531354953868814,0.24203716487357624,0.37077944882057373,-0.6871738,-0.17532907,1958.070287837414,0.16278215685164477,71.28093855927527,0.19250453151629807,0.27309282060384854,-0.7740203,-0.24338639,371.8915696986388,331.5581049200379,387.23763994140444,345.9771231637604,-0.005631068409054284,-0.005737030831789589
LOC_Os12g42280,17.752020595210066,0.1548340117979196,2.384882336038241,0.9582069429998061,0.4515259519629296,-0.7321617,-0.22444548,1111.840945717971,0.15096784879394526,152.33073119564696,0.9949754814500971,0.45584740208663316,-0.9044557,-0.37274933,151.98101645878086,97.94582148731067,26.703679991116207,230.5057511691207,0.04025826720633585,-0.008262773192233187
LOC_Os12g42300,425.6567286471849,0.03176072138962788,39.739680891332725,0.5516339640911418,0.5639743682824998,0.30550247,-0.49700108,33989.510305353026,-0.04421444437418853,3321.838772555018,0.5857385476189995,0.5674058295171052,1.7155788,-0.8700724,4728.600618969744,8113.016326550643,2254.9067557523167,8209.121641398082,0.5610284468625276,0.23441140801575566
LOC_Os12g42310,194.3075536030574,0.13272244502554842,4.459640347503274,0.12008441211691108,0.472934261710902,-0.20700431,-0.109762296,18901.846969255737,0.0620377499791947,598.2925709640112,0.16665667364312894,0.5503988909030224,0.83913165,0.17071337,3447.948591654701,3668.589084233359,3048.323486398658,4076.6147712717293,0.10646871833491169,0.022719630712831954
LOC_Os12g42370,96.21346270290404,0.16296424262682863,2.0844769772256626,0.1132685833988983,0.1787226030243508,-0.48607442,-0.13553058,5270.884723690989,0.14837458125066116,122.74818019503314,0.12187008575494711,0.37337366065675837,-0.45036975,-0.15545568,980.2509277263546,1004.19775150188,912.9460377403684,1020.6065363011417,0.020137708605083966,0.004360153311015713
LOC_Os12g42380,601.4236325960667,-0.019630116833981193,77.67587500123408,0.8917896940973272,0.5258775819829541,0.45872787,-0.9199586,6703.211354234005,0.10104143023252249,864.9005255263937,0.8902604620582331,0.5336650869172984,-0.54594326,-0.5662207,939.852336397637,1095.9021769334188,145.99588559263725,1549.9293412416803,1.0232868332130065,0.06664643067229203
LOC_Os12g42420,150.95446084533032,0.1394114905921246,11.632838488628122,0.4354513569692997,0.34828978255773285,-0.3766793,-0.19338717,7591.922785110166,0.12717377402545116,609.7211022917728,0.457426472884651,0.3897131083080267,-0.32653946,-0.24870671,1367.8538519931785,1075.1781255941335,883.1048215638472,1415.9252383368726,0.11620369134485713,-0.05926552873945409
LOC_Os12g42430,22.976587796260084,0.16483351121353929,1.6327337770091674,0.3961634643542366,0.29750432838612606,-0.7042615,-0.20018332,1111.6308461306428,0.16179833469706995,90.41039529588254,0.46443012872861655,0.33605847985371723,-0.87294626,-0.32430592,127.14251176947775,216.77714902706256,138.44429668570018,235.96288488834816,0.020393800984107452,0.02039729943231289
LOC_Os12g42520,39.97796549517154,0.16217851381300347,2.0453352220738235,0.27537885068893225,0.5378156061504359,-0.65513337,-0.20536458,3002.5688922762074,0.15503915065682178,182.40397003348656,0.33199194386770486,0.547457643469466,-0.69953966,-0.31364763,479.59612517092165,677.2225856014996,372.3065575109721,695.8046799546544,0.04425432886506808,0.024424291441471437
LOC_Os12g42550,1928.217266527482,-0.1775265642938254,71.59805674561275,0.1964963000000158,0.4649555332374858,4.644435,0.4493658,74882.3919089277,-0.19170963532580176,3448.181887268181,0.2461537707160565,0.5054658296388318,5.923009,1.2445554,14503.574376397666,14089.121158925056,11369.37769407557,16109.609674454252,0.15133708470478432,-0.012590261786115876
LOC_Os12g42570,44.90436855561946,0.16675234578818082,2.3716105633633418,0.28496096297026097,0.19468344831375095,-0.6408847,-0.17744458,3020.9440693219353,0.15878981826123867,161.71156910497845,0.28912965365545695,0.26748525545174584,-0.6851967,-0.24453646,573.4744516968689,524.2982209026629,509.08724909502666,525.5125234252907,0.0025168828506483124,-0.007106686207556069
LOC_Os12g42600,65.70799284824103,0.165560364715033,3.687191495935798,0.30430384729667737,0.23551313144101307,-0.58075166,-0.1701124,3972.869628318901,0.1546015562744502,247.09561100176924,0.3407692414046879,0.2907171305180336,-0.5982871,-0.23385732,674.943063636099,793.1624017308997,609.9185879103056,793.1624017308997,0.03043952974000007,0.01870287068309886
LOC_Os12g42610,54.43855306021519,0.16134732834568732,2.807689397603409,0.2777710471368942,0.33117120579433995,-0.61183614,-0.14156517,2042.973898793498,0.1591102416364571,101.089984469318,0.2657114779050064,0.23119442725553754,-0.7698661,-0.23809803,408.9427015905448,368.7372103051696,433.5794450723365,316.5026516900479,-0.030706034036836968,-0.010097806970609217
LOC_Os12g42640,28.536891454807655,0.15431249941029684,3.7683709208530227,0.9280858619800632,0.5954411147958906,-0.70787895,-0.24919248,1139.0382432486908,0.15423420466811355,150.70696057268992,0.931412560776158,0.5943623157314828,-0.8988815,-0.3945741,111.24295701283216,241.55966394944198,0.0,289.3208240813766,0.16608371242744047,0.02256769724148629
LOC_Os12g42730,262.5702839030912,0.06553040420904976,34.97757295624963,0.9431612111860485,0.48227331063666623,-0.23706499,-0.4860446,15896.35703410308,0.03371124789515478,2106.7175852771943,0.9342300447640213,0.49298236014880864,0.04250205,-0.80951065,1499.8424355361842,2074.9884075343743,409.30896186824566,3122.843490645363,0.5651694866549144,0.09032281353173906
LOC_Os12g42739,39.21009765808687,0.16011268670553575,3.2904508357354527,0.48245289045399953,0.4858569311799957,-0.6617216,-0.13931124,784.5864348787627,0.15938460136457433,59.94894762169603,0.4310940269636974,0.4573220189666948,-0.8939935,-0.28852063,153.57511510828277,114.19364960507373,196.83004313188889,91.92540251291832,-0.04955476112795376,-0.019285509022553705
